game_name,index_name,selected
火眼金睛,nc,t
按图索骥,mean_dist_err_allo,
按图索骥,mean_dist_err_both,
按图索骥,mean_dist_err_ego,
按图索骥,mean_log_err_allo,
按图索骥,mean_log_err_both,t
按图索骥,mean_log_err_ego,
方向临摹,nc,
方向临摹,mean_ang_err,
方向临摹,mean_log_err,t
登陆月球（中级）,mean_abs_err,
登陆月球（中级）,mean_log_err,t
连点成画PRO,nc,t
各得其所,prop_perfect,t
各得其所,mrt_init,
位置记忆PRO,nc,t
位置记忆PRO,max_span,
位置记忆PRO,mean_span_pcu,
位置记忆PRO,mean_span_anu,
顺背数PRO,nc,t
顺背数PRO,max_span,
顺背数PRO,mean_span_pcu,
顺背数PRO,mean_span_anu,
宇宙黑洞A,nc,t
宇宙黑洞A,max_span,
宇宙黑洞A,mean_span_pcu,
宇宙黑洞A,mean_span_anu,
欢乐餐厅PRO,nc,t
蝴蝶照相机,nc,t
蝴蝶照相机,max_span,
蝴蝶照相机,mean_span_pcu,
蝴蝶照相机,mean_span_anu,
打靶场,nc,t
打靶场,max_span,
打靶场,mean_span_pcu,
打靶场,mean_span_anu,
密码箱,nc,t
密码箱,max_span,
密码箱,mean_span_pcu,
密码箱,mean_span_anu,
舒尔特方格（中级）,nc_cor,t
我是大厨,score_total,t
我是大厨,score_aud,
我是大厨,score_mem,
我是大厨,score_vis,
萤火虫PRO,nc,t
萤火虫PRO,max_span,
萤火虫PRO,mean_span_pcu,
萤火虫PRO,mean_span_anu,
雪花收藏家,nc_cor,t
幸运小球PRO,nc,t
幸运小球PRO,max_span,
幸运小球PRO,mean_span_pcu,
幸运小球PRO,mean_span_anu,
人工语言-高级,nc,t
瑞文高级推理,nc_prac,
瑞文高级推理,nc_test,t
瑞文高级推理,nc_total,
中学生学业自我效能感量表,nc_score,
元认知意识问卷,nc_score,
正负情绪测查,nc_score,
职业价值观量表,nc_score,
青少年心理韧性量表,nc_score,
学业成就归因量表,nc_score,
图片记忆A,pc,t
图片记忆A,p_sim_foil,
图片记忆A,p_sim_lure,
图片记忆A,p_sim_target,
图片记忆A,bps_score,
言语记忆A,tm_dprime,t
言语记忆A,tm_bias,
言语记忆A,fm_dprime,
言语记忆A,fm_bias,
语义判断,nc,t
语义判断,mrt,
语义判断,rtsd,
语义判断,dprime,
语义判断,commissions,
语义判断,omissions,
声调判断,nc,t
声调判断,mrt,
声调判断,rtsd,
声调判断,dprime,
声调判断,commissions,
声调判断,omissions,
词语判断,nc,t
词语判断,mrt,
词语判断,rtsd,
词语判断,dprime,
词语判断,commissions,
词语判断,omissions,
捉虫高级简版,nc,t
捉虫高级简版,mrt,
捉虫高级简版,rtsd,
捉虫高级简版,dprime,
捉虫高级简版,commissions,
捉虫高级简版,omissions,
时间顺序判断,thresh_peak_valley,
时间顺序判断,thresh_last_block,
节奏感知,thresh_peak_valley,
节奏感知,thresh_last_block,
时长分辨,thresh_peak_valley,
时长分辨,thresh_last_block,
快速归类PRO,nc,t
快速归类PRO,mrt,
快速归类PRO,rtsd,
快速归类PRO,ies,
快速归类PRO,rcs,
快速归类PRO,lisas,
超级秒表PRO,mrt,
超级秒表PRO,rtsd,
数感,pc,t
数感,mrt,
数感,w,
速算师（中级）,nc,t
连续再认PRO,nc,t
连续再认PRO,mrt,
连续再认PRO,rtsd,
连续再认PRO,dprime,
连续再认PRO,commissions,
连续再认PRO,omissions,
魔术师终极,pc,
魔术师终极,mrt,
魔术师终极,ies,
魔术师终极,rcs,
魔术师终极,lisas,
魔术师终极,dprime,t
候鸟迁徙PRO,pc,t
候鸟迁徙PRO,mrt,
候鸟迁徙PRO,switch_cost_pc,
候鸟迁徙PRO,switch_cost_mrt,
候鸟迁徙PRO,switch_cost_ies,
候鸟迁徙PRO,switch_cost_rcs,
候鸟迁徙PRO,switch_cost_lisas,
候鸟迁徙PRO,pc_switch,
候鸟迁徙PRO,pc_repeat,
候鸟迁徙PRO,mrt_switch,
候鸟迁徙PRO,mrt_repeat,
候鸟迁徙PRO,ies_switch,
候鸟迁徙PRO,ies_repeat,
候鸟迁徙PRO,rcs_switch,
候鸟迁徙PRO,rcs_repeat,
候鸟迁徙PRO,lisas_switch,
候鸟迁徙PRO,lisas_repeat,
候鸟迁徙PRO,cong_eff_pc,
候鸟迁徙PRO,cong_eff_mrt,
候鸟迁徙PRO,cong_eff_ies,
候鸟迁徙PRO,cong_eff_rcs,
候鸟迁徙PRO,cong_eff_lisas,
候鸟迁徙PRO,pc_inc,
候鸟迁徙PRO,pc_con,
候鸟迁徙PRO,mrt_inc,
候鸟迁徙PRO,mrt_con,
候鸟迁徙PRO,ies_inc,
候鸟迁徙PRO,ies_con,
候鸟迁徙PRO,rcs_inc,
候鸟迁徙PRO,rcs_con,
候鸟迁徙PRO,lisas_inc,
候鸟迁徙PRO,lisas_con,
太空飞船PRO,pc,t
太空飞船PRO,mrt,
太空飞船PRO,cong_eff_pc,
太空飞船PRO,cong_eff_mrt,
太空飞船PRO,cong_eff_ies,
太空飞船PRO,cong_eff_rcs,
太空飞船PRO,cong_eff_lisas,
太空飞船PRO,pc_inc,
太空飞船PRO,pc_con,
太空飞船PRO,mrt_inc,
太空飞船PRO,mrt_con,
太空飞船PRO,ies_inc,
太空飞船PRO,ies_con,
太空飞船PRO,rcs_inc,
太空飞船PRO,rcs_con,
太空飞船PRO,lisas_inc,
太空飞船PRO,lisas_con,
变戏法,nc,t
变戏法,mrt,
变戏法,rtsd,
变戏法,ies,
变戏法,rcs,
变戏法,lisas,
多彩文字PRO,pc,t
多彩文字PRO,mrt,
多彩文字PRO,cong_eff_pc,
多彩文字PRO,cong_eff_mrt,
多彩文字PRO,cong_eff_ies,
多彩文字PRO,cong_eff_rcs,
多彩文字PRO,cong_eff_lisas,
多彩文字PRO,pc_inc,
多彩文字PRO,pc_con,
多彩文字PRO,mrt_inc,
多彩文字PRO,mrt_con,
多彩文字PRO,ies_inc,
多彩文字PRO,ies_con,
多彩文字PRO,rcs_inc,
多彩文字PRO,rcs_con,
多彩文字PRO,lisas_inc,
多彩文字PRO,lisas_con,
一心二用PRO,nc,t
一心二用PRO,mrt,
一心二用PRO,rtsd,
一心二用PRO,dprime,
一心二用PRO,commissions,
一心二用PRO,omissions,
小狗回家,mean_score,
小狗回家,dprime,t
美术卡片,pc,
美术卡片,mrt,
美术卡片,ies,
美术卡片,rcs,
美术卡片,lisas,
美术卡片,dprime,t
卡片分类PRO,pc,t
卡片分类PRO,mrt,
卡片分类PRO,switch_cost_pc,
卡片分类PRO,switch_cost_mrt,
卡片分类PRO,switch_cost_ies,
卡片分类PRO,switch_cost_rcs,
卡片分类PRO,switch_cost_lisas,
卡片分类PRO,pc_switch,
卡片分类PRO,pc_repeat,
